company_name,website,city,state,industry,company_type,estimated_size,startup_stage,arizona_presence,software_relevance,ai_ml_relevance,robotics_relevance,entry_level_relevance,current_hiring,careers_url,relevant_open_roles,itar_status,clearance_status,recruiting_firm,company_description,why_relevant,cto_name,cto_linkedin,cto_email,engineering_lead_name,engineering_lead_linkedin,engineering_lead_email,founder_name,founder_linkedin,founder_email,general_contact_email,linkedin_company,source_urls,verification_date,confidence,outreach_status,last_contacted,follow_up_date,outreach_priority,notes
GoDaddy,https://www.godaddy.com,Tempe,AZ,Internet Services/SaaS/Domains,Public/Enterprise,5000+,Public,HQ,HIGH,MEDIUM,LOW,HIGH,YES,https://careers.godaddy.com/,"Software Engineer, Backend Engineer (varies by quarter)",NONE_FOUND,NONE_FOUND,NO,"Domain registration, web hosting and small-business SaaS platform headquartered in Tempe.",Large AZ-native tech employer with active new-grad and SWE pipelines; backend/cloud stack matches candidate skills.,,,,,,,,,,,https://www.linkedin.com/company/godaddy,https://en.wikipedia.org/wiki/GoDaddy,2026-09-22,HIGH,,,,P1,Public company; verified via Wikipedia + company site references in search results.
Carvana,https://www.carvana.com,Tempe,AZ,E-commerce/Automotive Technology,Public,5000+,Public,HQ,HIGH,MEDIUM,LOW,MEDIUM,YES,https://www.carvana.com/careers,"Software Engineer, Data Engineer",NONE_FOUND,NONE_FOUND,NO,Online used-car retailer and ecommerce platform headquartered in Tempe.,AZ-HQ tech-enabled ecommerce company with sizable engineering org.,,,,,,,,,,,https://www.linkedin.com/company/carvana,https://en.wikipedia.org/wiki/Carvana,2026-09-22,HIGH,,,,P1,Public company confirmed HQ Tempe.
Insight Enterprises,https://www.insight.com,Tempe,AZ,IT Solutions/Cloud Services,Public,5000+,Public,HQ,HIGH,MEDIUM,LOW,MEDIUM,YES,https://jobs.insight.com/,"Cloud Engineer, Software Developer (varies)",NONE_FOUND,NONE_FOUND,NO,"Fortune 500 IT solutions integrator providing cloud, data/AI, and digital innovation services, HQ Tempe.",Large engineering/cloud practice; AWS/GCP/Kubernetes/Terraform skills directly applicable.,,,,,,,,,,,https://www.linkedin.com/company/insight-enterprises,https://en.wikipedia.org/wiki/Insight_Enterprises,2026-09-22,HIGH,,,,P1,Public company confirmed HQ Tempe.
Blue Yonder,https://blueyonder.com,Scottsdale,AZ,Supply Chain SaaS/AI,Private (Panasonic-owned),5000+,Growth,HQ,HIGH,HIGH,MEDIUM,MEDIUM,YES,https://blueyonder.com/careers,"Software Engineer, ML Engineer, Data Engineer",NONE_FOUND,NONE_FOUND,NO,"Supply chain management SaaS and AI platform (formerly JDA Software), HQ Scottsdale.",Heavy AI/ML + cloud engineering investment; warehouse/robotics-adjacent supply chain optimization.,,,,,,,,,,,https://www.linkedin.com/company/blueyonder,https://en.wikipedia.org/wiki/Blue_Yonder,2026-09-22,HIGH,,,,P1,Confirmed HQ Scottsdale via Wikipedia.
Nextiva,https://www.nextiva.com,Scottsdale,AZ,UCaaS/Customer Experience SaaS,Private (unicorn),1000-5000,Late-stage/Unicorn,HQ,HIGH,MEDIUM,LOW,MEDIUM,YES,https://www.nextiva.com/careers,"Software Engineer, Backend Engineer",NONE_FOUND,NONE_FOUND,NO,Cloud communications / CX SaaS company headquartered in Scottsdale.,Large AZ-native SaaS engineering org; backend/cloud skills match.,,,,,,,,,,,https://www.linkedin.com/company/nextiva,https://en.wikipedia.org/wiki/Nextiva,2026-09-22,HIGH,,,,P1,Confirmed HQ Scottsdale.
SmartRent,https://www.smartrent.com,Scottsdale,AZ,PropTech/Smart Home IoT,Public,500-1000,Public (small-cap),HQ,HIGH,MEDIUM,MEDIUM,MEDIUM,YES,https://www.smartrent.com/careers/,"Software Engineer, IoT/Firmware Engineer",NONE_FOUND,NONE_FOUND,NO,"Smart home and IoT platform for multifamily rental housing, founded 2017, HQ Scottsdale.",IoT + cloud software with hardware/robotics-adjacent device fleet management.,,,,,,,,,,,https://www.linkedin.com/company/smartrentdotcom,https://www.zoominfo.com/c/smartrent-technologies-inc/416272162,2026-09-22,HIGH,,,,P1,Confirmed HQ Scottsdale via ZoomInfo/search.
Verra Mobility,https://www.verramobility.com,Mesa,AZ,Smart Mobility Technology,Public,1000-5000,Public,HQ,HIGH,MEDIUM,MEDIUM,MEDIUM,YES,https://www.verramobility.com/careers/,"Software Engineer, Computer Vision Engineer (tolling/safety cameras)",NONE_FOUND,NONE_FOUND,NO,"Smart mobility technology (tolling, safety cameras, fleet solutions) HQ Mesa, NASDAQ: VRRM.",Computer vision (license plate recognition) + backend platform engineering.,,,,,,,,,,,https://www.linkedin.com/company/verramobility,https://www.facebook.com/VerraMobility/,2026-09-22,HIGH,,,,P1,Confirmed HQ Mesa AZ.
Offerpad,https://www.offerpad.com,Chandler,AZ,Real Estate Technology (iBuying),Public,500-1000,Public,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.offerpad.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Real estate technology (iBuying) company founded 2015, HQ Chandler.",Data-driven real estate pricing platform; backend/data engineering roles.,,,,,,,Brian Bair,,,,https://www.linkedin.com/company/offerpad,https://chamberbusinessnews.com/2019/05/10/real-estate-tech-company-offerpad-celebrates-opening-of-new-chandler-headquarters/,2026-09-22,HIGH,,,,P2,"Founder Brian Bair confirmed via multiple sources; hiring volume reduced after 2022-2023 real estate slowdown, verify current openings."
WebPT,https://www.webpt.com,Phoenix,AZ,Healthtech SaaS (Physical Therapy EMR),Private,500-1000,Growth/PE-backed,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.webpt.com/about/careers,,NONE_FOUND,NONE_FOUND,NO,"Web-based EMR/practice management SaaS for physical/occupational therapists, HQ downtown Phoenix.",Established AZ-native SaaS engineering org.,,,,,,,Heidi Jannenga; Brad Jannenga,,,,https://www.linkedin.com/company/webpt,https://www.webpt.com/about/press/webpt-unveils-renovated-and-expanded-headquarters-in-downtown-phoenix,2026-09-22,HIGH,,,,P1,Founders confirmed via Wikipedia/press release.
Nikola Corporation,https://www.nikolamotor.com,Phoenix,AZ,EV/Hydrogen Trucking,Public,500-1000,Public (financial distress),HQ,MEDIUM,LOW,HIGH,LOW,UNCLEAR,https://www.linkedin.com/company/nikola-motor-company/jobs,,NONE_FOUND,NONE_FOUND,NO,"Battery-electric and hydrogen fuel-cell truck manufacturer, HQ Phoenix.","Vehicle controls/embedded and robotics-adjacent engineering, but company has had major financial/layoff turmoil.",,,,,,,,,,,https://www.linkedin.com/company/nikola-motor-company,https://www.zoominfo.com/c/nikola-corp/414840200,2026-09-22,MEDIUM,,,,P3,CAUTION: company has faced bankruptcy-adjacent financial distress; verify current operating status before outreach.
TSMC Arizona,https://www.tsmc.com,Phoenix,AZ,Semiconductor Manufacturing,Public (subsidiary),5000+,Public,Major fab + office,HIGH,MEDIUM,HIGH,HIGH,YES,https://ro.careers.tsmc.com/,Fullstack Software Engineer (fab automation),NONE_FOUND,NONE_FOUND,NO,World's largest semiconductor foundry; large new fab and automation software team in Phoenix.,Actively hiring fullstack engineers for fab automation software; new-grad friendly.,,,,,,,,,,,https://www.linkedin.com/company/tsmc,https://ro.careers.tsmc.com/job/Phoenix-Fullstack-Software-Engineer-AZ-85083/1210813601/,2026-09-22,HIGH,,,,P1,Confirmed open fullstack SWE req in Phoenix.
Waymo (Mesa Integration Facility),https://waymo.com,Mesa,AZ,Autonomous Vehicles/Robotics,Private (Alphabet subsidiary),5000+,Late-stage,Major operations + new integration facility,HIGH,HIGH,HIGH,MEDIUM,UNCLEAR,https://waymo.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Alphabet's self-driving car company; operates ride-hailing fleet across Metro Phoenix and opened a 250,000 sq ft vehicle integration facility in Mesa.",Core robotics/autonomy company with real AZ operations footprint; engineering HQ is Mountain View so most SWE reqs may not be AZ-based specifically - verify per-req location.,,,,,,,,,,,https://www.linkedin.com/company/waymo,https://insideautonomousvehicles.com/waymo-rampus-up-u-s-manufacturing-with-new-arizona-integration-facility/,2026-09-22,MEDIUM,,,,P2,"AZ presence is operations/integration facility, not confirmed core engineering HQ; confirm role location before applying."
Axway,https://www.axway.com,Phoenix,AZ,Enterprise Software/API Integration,Public,1000-5000,Public,HQ (dual with Paris),HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.axway.com/en/company/careers,,NONE_FOUND,NONE_FOUND,NO,"Enterprise API management and integration software company, dual HQ Paris/Phoenix.",Established enterprise software engineering org with AZ office.,,,,,,,,,,,https://www.linkedin.com/company/axway,https://gregslist.com/phoenix/ (search snippet reference),2026-09-22,MEDIUM,,,,P2,"Dual HQ; verify AZ office is an engineering site, not just sales."
Centauri Health Solutions,https://centaurihs.com,Scottsdale,AZ,Healthtech SaaS,Private (PE-backed),1000-5000,Growth,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://centaurihs.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Healthcare technology and analytics company (risk adjustment, quality, member engagement) HQ Scottsdale.",Data/software engineering roles in healthtech.,,,,,,,,,,,https://www.linkedin.com/company/centauri-health-solutions,https://azbigmedia.com (Phoenix SaaS ecosystem search) / general search listing,2026-09-22,MEDIUM,,,,P2,Verified via aggregate search listing naming it a Phoenix-area SaaS company.
Lucid Group (Casa Grande manufacturing),https://www.lucidmotors.com,Casa Grande,AZ,Electric Vehicles/Manufacturing,Public,5000+,Public,Major manufacturing plant,MEDIUM,LOW,HIGH,LOW,UNCLEAR,https://www.lucidmotors.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Luxury EV manufacturer; large AMP-1 manufacturing campus in Casa Grande, AZ.","Manufacturing automation/robotics software roles possible at AZ plant, though core software engineering HQ is in California.",,,,,,,,,,,https://www.linkedin.com/company/lucid-motors,https://www.pinal.gov/CivicAlerts.aspx?AID=1839,2026-09-22,MEDIUM,,,,P3,AZ site is primarily manufacturing; confirm whether SWE roles are based on-site vs. Newark CA HQ.
Paradox,https://www.paradox.ai,Scottsdale,AZ,AI Recruiting Software,Private (well-funded),500-1000,Late-stage/Series C+,HQ,HIGH,HIGH,LOW,MEDIUM,YES,https://www.paradox.ai/careers,"Software Engineer, ML Engineer",NONE_FOUND,NONE_FOUND,NO,"Conversational AI hiring/recruiting assistant platform ('Olivia'), raised $253M+, HQ Scottsdale.","Strong AI/LLM engineering org, well-funded AZ-native AI company.",,,,,,,,,,,https://www.linkedin.com/company/paradoxai,https://azbigmedia.com/business/10-arizona-startups-to-watch-heading-into-2026/,2026-09-22,HIGH,,,,P1,One of AZ's best-funded AI startups.
Botco.ai,https://botco.ai,Scottsdale,AZ,Generative AI Chat/Conversational AI,Private,50-200,Series A+,HQ,HIGH,HIGH,LOW,MEDIUM,YES,https://botco.ai/careers/,GenAI Engineer roles (per careers page),NONE_FOUND,NONE_FOUND,NO,"GenAI Chat Cloud / enterprise conversational AI platform, women-founded, $23.5M+ raised.",Direct LLM/GenAI engineering work matches LangChain/LLM API skills.,,,,,,,Rebecca Clyde; Anu Shukla,,,,https://www.linkedin.com/company/botco.ai,https://botco.ai/careers/;https://botco.ai/about-us/,2026-09-22,HIGH,,,,P1,Careers page confirms active GenAI hiring.
Nuclearn,https://nuclearn.ai,Phoenix,AZ,AI/LLM for Energy Sector,Private,11-50,Series A+,HQ,HIGH,HIGH,LOW,MEDIUM,YES,https://www.ziprecruiter.com/co/Nuclearn-AI/Jobs,,NONE_FOUND,NONE_FOUND,NO,Builds LLMs trained on nuclear/energy regulatory corpus for compliance automation; serves 70+ facilities.,"Applied LLM engineering startup, one of few AZ Series A+ AI companies in 2026.",,,,,,,,,,,https://www.linkedin.com/company/nuclearn,https://nuclearn.ai/,2026-09-22,MEDIUM,,,,P2,Small team; verify current openings directly.
